Assists,Attacking scrum win,Average points,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Matches played,Metres carried,Name,Offloads,Penalty,Position,Position Name,Red cards ,Tackles,Try,Yellow cards
,,6.0,,France,,,2,,138386,,,,,1,22,B. Serin,,,9,Scrum Half,,,,
,,6.0,,Wales,,,2,,103056,,,,,1,4,M. Grady,,,7,Centre,,2,,
,,5.0,,Italy,,,,,236573,,1,,,1,,A. Garbisi,,,9,Scrum Half,,3,,
,,4.0,,Ireland,,,,,118531,,,,,1,1,R. Kelleher,,,13,Hooker,,4,,
,,3.0,,England,,,,,239634,,,,,1,21,H. Pollock,,,10,Back Row,,1,,
,,3.0,,England,,,,,111662,,,,,1,2,B. Spencer,,,9,Scrum Half,,3,,
,,2.0,,Italy,,,,,236609,,,,,1,,L. Pani,,,6,Back Three,,1,,
,,1.0,,Scotland,,,,,164150,,,,,1,1,D. Graham,,,6,Back Three,,1,,
,,1.0,,Ireland,,,,,105642,,,,,1,,C. Casey,,,9,Scrum Half,,1,,
,,,1,England,1,,,,155409,,,,,1,1,M. Itoje,,,11,Second Row,,1,,1
,,,,Wales,2,,1,,225777,,,,,1,4,B. Thomas,,,7,Centre,,5,,1
,,,,Ireland,,,,,115762,,,,,1,3,F. Bealham,,,12,Prop,,,,
,,,,Wales,,,,,190215,,,,,1,,K. Hardy,,,9,Scrum Half,,,,
,,-5.0,,Wales,1,,,,143123,,,,,1,6,T. Plumtree,,,10,Back Row,,1,,1
,,,,Scotland,,,,,221466,,,,,,,B. Kinghorn,,,6,Back Three,,,,
,,,,Scotland,,,,,172455,,,,,,,D. van der Merwe,,,6,Back Three,,,,
,,,,England,,,,,233237,,,,,,,I. Feyi-Waboso,,,6,Back Three,,,,
,,,,Ireland,,,,,109852,,,,,,,J. Lowe,,,6,Back Three,,,,
,,,,England,,,,,240631,,,,,,,C. Cunningham-South,,,10,Back Row,,,,
,,,,England,,,,,175011,,,,,,,M. Ojomoh,,,7,Centre,,,,
,,,,Ireland,,,,,145361,,,,,,,H. Keenan,,,6,Back Three,,,,
,,,,Scotland,,,,,187982,,,,,,,J. Ritchie,,,10,Back Row,,,,
,,,,Wales,,,,,243190,,,,,,,B. Murray,,,6,Back Three,,,,
,,,,England,,,,,183874,,,,,,,E. Daly,,,6,Back Three,,,,
,,,,France,,,,,175948,,,,,,,C. Baille,,,12,Prop,,,,
,,,,Ireland,,,,,113444,,,,,,,T. Furlong,,,12,Prop,,,,
,,,,Scotland,,,,,133065,,,,,,,A. Hastings,,,8,Fly Half,,,,
,,,,Scotland,,,,,100192,,,,,,,J. Bayliss,,,10,Back Row,,,,
,,,,Wales,,,,,218331,,,,,,,J. Evans,,,8,Fly Half,,,,
,,,,England,,,,,138016,,,,,,,H. Slade,,,7,Centre,,,,
,,,,England,,,,,110793,,,,,,,C. Murley,,,6,Back Three,,,,
,,,,England,,,,,113737,,,,,,,J. van Poortvliet,,,9,Scrum Half,,,,
,,,,England,,,,,153646,,,,,,,G. Furbank,,,6,Back Three,,,,
,,,,France,,,,,179735,,,,,,,C. Woki,,,10,Back Row,,,,
,,,,France,,,,,244412,,,,,,,G. Arfeuil,,,6,Back Three,,,,
,,,,France,,,,,253274,,,,,,,U. Seunes,,,8,Fly Half,,,,
,,,,Ireland,,,,,199383,,,,,,,C. Frawley,,,8,Fly Half,,,,
,,,,Scotland,,,,,156550,,,,,,,M. Bradbury,,,10,Back Row,,,,
,,,,Scotland,,,,,109816,,,,,,,R. Hutchinson,,,7,Centre,,,,
,,,,Scotland,,,,,144180,,,,,,,O. Smith,,,7,Centre,,,,
,,,,Scotland,,,,,240478,,,,,,,G. Hiddleston,,,13,Hooker,,,,
,,,,Wales,,,,,139232,,,,,,,G. Thomas,,,12,Prop,,,,
,,,,Wales,,,,,125946,,,,,,,T. Rogers,,,6,Back Three,,,,
,,,,France,,,,,165194,,,,,,,A. Roumat,,,10,Back Row,,,,
,,,,France,,,,,190812,,,,,,,G. Colombe,,,12,Prop,,,,
