Assists,Attacking scrum win,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Metres carried,Minutes played,Name,Offloads,Penalty,Position,Position Name,Pts,Red cards ,Tackles,Try,Yellow cards,gameweek
,,1,England,1,,,,155409,,,,,1,18,M. Itoje,,,11,Second Row,,,1,,1,1
,,,Wales,2,,1,,225777,,,,,4,70,B. Thomas,,,7,Centre,,,5,,1,1
,,,Ireland,,,,,115762,,,,,3,21,F. Bealham,,,12,Prop,,,,,,1
,,,Wales,,,,,190215,,,,,,1,K. Hardy,,,9,Scrum Half,,,,,,1
,,,Scotland,,,,,221466,,,,,,,B. Kinghorn,,,6,Back Three,,,,,,1
,,,Ireland,,,,,109852,,,,,,,J. Lowe,,,6,Back Three,,,,,,1
,,,England,,,,,137626,,,,,,,F. Smith,,,8,Fly Half,,,,,,1
,,,Ireland,,,,,175150,,,,,,,R. Baloucoune,,,6,Back Three,,,,,,1
,,,England,,,,,131724,,,,,,,O. Lawrence,,,7,Centre,,,,,,1
,,,Italy,,,,,120989,,,,,,,A. Capuozzo,,,6,Back Three,,,,,,1
,,,France,,,,,237225,,,,,,,E. Gailleton,,,7,Centre,,,,,,1
,,,Wales,,,,,214124,,,,,,,J. Botham,,,10,Back Row,,,,,,1
,,,Ireland,,,,,157406,,,,,,,B. Aki,,,7,Centre,,,,,,1
,,,Ireland,,,,,113444,,,,,,,T. Furlong,,,12,Prop,,,,,,1
,,,France,,,,,100043,,,,,,,M. Lucu,,,9,Scrum Half,,,,,,1
,,,Italy,,,,,130282,,,,,,,T. Allan,,,8,Fly Half,,,,,,1
,,,France,,,,,176585,,,,,,,T. Flament,,,11,Second Row,,,,,,1
,,,England,,,,,240631,,,,,,,C. Cunningham-South,,,10,Back Row,,,,,,1
,,,Wales,,,,,243190,,,,,,,B. Murray,,,6,Back Three,,,,,,1
,,,Ireland,,,,,145361,,,,,,,H. Keenan,,,6,Back Three,,,,,,1
,,,Italy,,,,,136875,,,,,,,G. Lucchesi,,,13,Hooker,,,,,,1
,,,France,,,,,182885,,,,,,,P. Barassi,,,7,Centre,,,,,,1
,,,France,,,,,250067,,,,,,,F. Brau-Boirie,,,7,Centre,,,,,,1
,,,Scotland,,,,,100192,,,,,,,J. Bayliss,,,10,Back Row,,,,,,1
,,,Wales,,,,,218331,,,,,,,J. Evans,,,8,Fly Half,,,,,,1
,,,England,,,,,110793,,,,,,,C. Murley,,,6,Back Three,,,,,,1
,,,England,,,,,113737,,,,,,,J. van Poortvliet,,,9,Scrum Half,,,,,,1
,,,Ireland,,,,,224426,,,,,,,T. O'Toole,,,12,Prop,,,,,,1
,,,England,,,,,183874,,,,,,,E. Daly,,,6,Back Three,,,,,,1
,,,Wales,,,,,182170,,,,,,,R. Elias,,,13,Hooker,,,,,,1
,,,Ireland,,,,,199383,,,,,,,C. Frawley,,,8,Fly Half,,,,,,1
,,,France,,,,,216116,,,,,,,P. Boudehent,,,10,Back Row,,,,,,1
,,,France,,,,,206243,,,,,,,L. Barre,,,6,Back Three,,,,,,1
,,,Ireland,,,,,144570,,,,,,,J. O'Brien,,,6,Back Three,,,,,,1
,,,Scotland,,,,,156550,,,,,,,M. Bradbury,,,10,Back Row,,,,,,1
,,,France,,,,,187175,,,,,,,G. Villiere,,,6,Back Three,,,,,,1
,,,England,,,,,138016,,,,,,,H. Slade,,,7,Centre,,,,,,1
,,,England,,,,,153646,,,,,,,G. Furbank,,,6,Back Three,,,,,,1
,,,France,,,,,179735,,,,,,,C. Woki,,,10,Back Row,,,,,,1
,,,France,,,,,243604,,,,,,,G. Drean,,,6,Back Three,,,,,,1
,,,France,,,,,244412,,,,,,,G. Arfeuil,,,6,Back Three,,,,,,1
,,,France,,,,,253274,,,,,,,U. Seunes,,,8,Fly Half,,,,,,1
,,,Italy,,,,,236566,,,,,,,S. Gesi,,,6,Back Three,,,,,,1
,,,Italy,,,,,229647,,,,,,,M. Page-Relo,,,9,Scrum Half,,,,,,1
,,,Wales,,,,,118619,,,,,,,S. Costelow,,,8,Fly Half,,,,,,1
,,,Wales,,,,,125946,,,,,,,T. Rogers,,,6,Back Three,,,,,,1
,,,Scotland,,,,,109816,,,,,,,R. Hutchinson,,,7,Centre,,,,,,1
,,,Scotland,,,,,144180,,,,,,,O. Smith,,,7,Centre,,,,,,1
,,,Scotland,,,,,129286,,,,,,,D. Cherry,,,13,Hooker,,,,,,1
,,,Scotland,,,,,113103,,,,,,,A. Reed,,,6,Back Three,,,,,,1
,,,Wales,,,,,139232,,,,,,,G. Thomas,,,12,Prop,,,,,,1
,,,Scotland,,,,,240478,,,,,,,G. Hiddleston,,,13,Hooker,,,,,,1
,,,Wales,,,,,197546,,,,,,,J. Hawkins,,,7,Centre,,,,,,1
,,,Italy,,,,,206390,,,,,,,P. Dimcheff,,,13,Hooker,,,,,,1
,,,Wales,,,,,216823,,,,,,,O. Cracknell,,,10,Back Row,,,,,,1
,,,France,,,,,189190,,,,,,,M. Lamothe,,,13,Hooker,,,,,,1
,,,France,,,,,186184,,,,,,,J. Brennan,,,11,Second Row,,,,,,1
,,,Italy,,,,,110891,,,,,,,S. Varney,,,9,Scrum Half,,,,,,1
,,,France,,,,,190812,,,,,,,G. Colombe,,,12,Prop,,,,,,1
,,,Ireland,,,,,197246,,,,,,,T. Stewart,,,13,Hooker,,,,,,1
,,,Ireland,,,,,159083,,,,,,,T. Farrell,,,7,Centre,,,,,,1
,,,Italy,,,,,123396,,,,,,,G. Bertaccini,,,7,Centre,,,,,,1
,,,Scotland,,,,,180778,,,,,,,K. Rowe,,,6,Back Three,,,,,,1
,,,Ireland,,,,,188115,,,,,,,H. Byrne,,,8,Fly Half,,,,,,1
,,,Italy,,,,,201405,,,,,,,G. da Re,,,8,Fly Half,,,,,,1
,,,Scotland,,,,,171323,,,,,,,J. Gray,,,11,Second Row,,,,,,1
,,,Scotland,,,,,149746,,,,,,,S. McDowall,,,7,Centre,,,,,,1
,,,Scotland,,,,,136509,,,,,,,F. Burke,,,8,Fly Half,,,,,,1
,,,Italy,,,,,238037,,,,,,,D. Odiase,,,10,Back Row,,,,,,1
,,,France,,,,,244152,,,,,,,T. Matiu,,,10,Back Row,,,,,,1
,,,Italy,,,,,174824,,,,,,,G. Zilocchi,,,12,Prop,,,,,,1
,,,France,,,,,207407,,,,,,,D. Bamba,,,12,Prop,,,,,,1
,,,Italy,,,,,153725,,,,,,,P. Odogwu,,,6,Back Three,,,,,,1
,,,England,,,,,109648,,,,,,,S. Atkinson,,,7,Centre,,,,,,1
,,,Ireland,,,,,244039,,,,,,,D. Murray,,,11,Second Row,,,,,,1
,,,Ireland,,,,,243648,,,,,,,E. Edogbo,,,11,Second Row,,,,,,1
,,,Scotland,,,,,250743,,,,,,,F. Douglas,,,10,Back Row,,,,,,1
,,,Scotland,,,,,250743,,,,,,,F. Douglas,,,10,Back Row,,,,,,1
,,,England,,,,,160844,,,,,,,R. Quirke,,,9,Scrum Half,,,,,,1
,,,France,,,,,200911,,,,,,,T. Laclayat,,,12,Prop,,,,,,1
,,,Wales,,,,,240573,,,,,,,R. Woodman,,,10,Back Row,,,,,,1
,,,France,,,,,130960,,,,,,,S. Zegueur,,,10,Back Row,,,,,,1
,,,Ireland,,,,,176354,,,,,,,N. Doak,,,9,Scrum Half,,,,,,1
,,,France,,,,,244533,,,,,,,A. Desperes,,,8,Fly Half,,,,,,1
,,,Wales,,,,,233245,,,,,,,L. Hennessey,,,7,Centre,,,,,,1
,,,England,,,,,111794,,,,,,,T. Dan,,,13,Hooker,,,,,,1
,,,England,,,,,170455,,,,,,,G. Fisilau,,,10,Back Row,,,,,,1
,,,England,,,,,175826,,,,,,,J. Kenningham,,,10,Back Row,,,,,,1
,,,France,,,,,174159,,,,,,,D. Priso,,,12,Prop,,,,,,1
,,,Italy,,,,,216977,,,,,,,A. Izekor,,,10,Back Row,,,,,,1
,,,Italy,,,,,159960,,,,,,,M. Gallagher,,,6,Back Three,,,,,,1
,,,Italy,,,,,207699,,,,,,,D. Mazza,,,7,Centre,,,,,,1
,,,Italy,,,,,238030,,,,,,,S. Locatelli,,,10,Back Row,,,,,,1
,,,Scotland,,,,,237261,,,,,,,A. Samuel,,,11,Second Row,,,,,,1
